,Date,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal (Y/N),Time,Species 
1354,07-Sep-2009,2009.0,Unprovoked,BRAZIL,Pernambuco,"Piedade, Recife","Swimming, attempting to rescue a girl  believed to be drowning",M,Fatal,Y,Afternoon,
1356,01-Sep-2009,2009.0,Provoked,SOLOMON ISLANDS,Makira-Ulawa Province,"Kirakira, Makira Island (formerly San Cristobal)",Fishing,M,Survived,N,,
1357,30-Aug-2009,2009.0,Unprovoked,USA,California,"Huntington Beach, Orange County",Surfing,M,No Injury,N,18h30,4' shark
1358,29-Aug-2009,2009.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Glentana,Surfing,M,Fatal,Y,15h30,White shark
1359,25-Aug-2009,2009.0,Unprovoked,USA,California,"Terramar Beach, Carlsbad, San Diego County",Swimming,F,Survived,N,16h30,"White shark, 5' to 6' juvenile "
1360,11-Aug-2009,2009.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Alkantstrand ,Body boarding,M,No Injury,N,Lunchtime,"White shark, 2m"
1361,10-Aug-2009,2009.0,Unprovoked,USA,Florida,"Ponce, Volusia County",Swimming,M,Survived,N,19h00,
1362,06-Aug-2009,2009.0,Unprovoked,USA,Hawaii,Kawa'a ,Surfing,M,No Injury,N,08h45,"Tiger shark, 12"
1363,01-Aug-2009,2009.0,Unprovoked,USA,Louisiana,"Curlew Island, Breton Sound",Wade Fishing,M,Survived,N,10h00,Bull shark?
1364,31-July-2009,2009.0,Unprovoked,BAHAMAS,Abaco Islands,Spanish Cay,Spearfishing,M,Survived,N,,Bull shark
1365,30-Jul-2009,2009.0,Unprovoked,AUSTRALIA,New South Wales,Broken Head,Surfing,M,Survived,N,06h15,
1366,29-Jul-2009,2009.0,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,F,Survived,N,17h30,
1367,Reported 24-Jul-2009,2009.0,Unprovoked,KENYA,Mombasa,Likoni Channel,Washing his feet,M,Fatal,Y,,
1368,24-Jul-2009,2009.0,Unprovoked,USA,Texas,South Padre Island,Wading,F,Survived,N,Afternoon,
1370,22-Jul-2009,2009.0,Unprovoked,USA,North Carolina,Holden Beach. Brunswick County,Swimming,F,Survived,N,15h00,
1371,22-Jul-2009,2009.0,Unprovoked,USA,Florida,"Intracoastal Waterway,      St. Petersburg",Swimming,F,Survived,N,15h00,
1372,18-Jul-2009,2009.0,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,M,Survived,N,,
1373,11-Jul-2009,2009.0,Provoked,BAHAMAS,,,Spearfishing,M,Survived,N,,"Caribbean reef shark, 6'"
1374,11-Jul-2009,2009.0,Unprovoked,USA,California,"San Onofre, San Diego County ",Paddle-surfing,M,No Injury,N,08h30,5' shark
1375,07-Jul-2009,2009.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Jogensfontein, Stilbaai",Surfing,M,Survived,N,11h15,
1376,05-Jul-2009,2009.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Boogie Boarding,F,Survived,N,16h00,
1377,04-Jul-2009,2009.0,Provoked,USA,Florida,"Biscayne National Park, Miami",Swimming,F,Survived,N,15j45,"Nurse shark, 6'"
1378,27-Jun-2009,2009.0,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,Survived,N,08h45,"Thought to involve a Bronze whale shark, 2m"
1381,Reported 14-Jun-2009,2009.0,Provoked,VIETNAM,,,Fishing for sharks,M,Survived,N,,White shark
1382,02-Jun-2009,2009.0,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar,Scuba diving,M,Survived,N,,Oceanic whitetip shark
1383,02-Jun-2009,2009.0,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar,Scuba diving,M,Survived,N,,Oceanic whitetip shark
1384,01-Jun-2009,2009.0,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar,Snorkeling,F,Fatal,Y,Morning,"Oceanic whitetip shark, 2.5 to 3m"
1385,31-May-2009,2009.0,Provoked,TAIWAN,Off Green Island,Onboard the fishing vessel Chin Sheng Fa 13  ,Fishing,M,Survived,N,20h30,80 kg shark
1386,25-May-2009,2009.0,Provoked,USA,Florida,"Clearwater Beach, Pinellas County",Swimming,M,Survived,N,20h30,5' to 8' shark
1387,17-May-2009,2009.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Survived,N,09h35,blacktip or spinner shark
1388,16-May-2009,2009.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Survived,N,10h27,blacktip or spinner shark
1389,16-May-2009,2009.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Survived,N,10h16,blacktip or spinner shark
1390,12-May-2009,2009.0,Provoked,GUAM,North Region,Ritidian Point,Spearfishing,M,Survived,N,Afternoon,"Blacktip shark, 4'"
1391,06-Mar-2009,2009.0,Provoked,BAHAMAS,Exuma Islands,,Spearfishing,M,Survived,N,,7' shark
1392,28-Apr-2009,2009.0,Unprovoked,USA,Florida,"St. Augustine, St. John's County",,F,Survived,N,16h45,
1393,Reported 25-Apr-2009,2009.0,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,No Injury,N,10h00,
1394,21-Apr-2009,2009.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Survived,N,Late afternoon,
1395,20-Apr-2009,2009.0,Unprovoked,PHILIPPINES,Batangas province,Mabini,Swimming,M,Survived,N,0500,
1396,19-Apr-2009,2009.0,Unprovoked,USA,Florida,"Carlin Park, Jupiter Inlet",Surfing,M,Survived,N,16h00,
1397,17-Apr-2009,2009.0,Unprovoked,USA,Florida,"Walton Rocks, St Lucie County",Surfing,M,Survived,N,13h15,2' to 3' shark
1399,12-Apr-2009,2009.0,Unprovoked,AUSTRALIA,New South Wales,Fingal Bay,Surf skiing ,M,No Injury,N,08h00,2' to 3' shark
1401,06-Apr-2009,2009.0,Unprovoked,USA,California,San Diego County,Spearfishing,M,Survived,N,07h45,"White shark, 12' to 15' female"
1402,03-Apr-2009,2009.0,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Wading,M,Survived,N,16h00,
1403,27-Mar-2009,2009.0,Provoked,SOUTH AFRICA,Eastern Cape Province,2-3 km north of Sunday's River mouth,Fishing ,M,Survived,N,,Raggedtooth shark
1404,21-Mar-2009,2009.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Surfing,M,Fatal,Y,Afternoon,
1405,20-Mar-2009,2009.0,Unprovoked,AUSTRALIA,New South Wales,Blue Bay,Surfing,M,Survived,N,18h45,Bronze whaler shark?
1406,19-Mar-2009,2009.0,Unprovoked,AUSTRALIA,New South Wales,South Broulee,Surfing,M,No Injury,N,Early morning,
1407,19-Mar-2009,2009.0,Unprovoked,AUSTRALIA,New South Wales,Bateman's Bay,Surfing,F,No Injury,N,07h45,
1408,18-Mar-2009,2009.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,F,Survived,N,17h30,3' to 4' shark
1409,Reported 17-Mar-2009,2009.0,Unprovoked,MALAYSIA,Strait of Malacca,Pulau Payar Island,Feeding fish,F,Survived,N,,Blacktip reef shark pup
1410,17-Mar-2009,2009.0,Unprovoked,USA,Hawaii,Alenuihaha Channel,Swimming,M,Survived,N,20h00,Thought to involve a cookiecutter shark
1411,Reported 16-Mar-2009,2009.0,Provoked,AUSTRALIA,Western Australia,"The Natural Jetty, Rottnest Island",Wading,M,Survived,N,,"Wobbegong shark, 60cm"
1412,06-Mar-2009,2009.0,Unprovoked,NEW CALEDONIA,South Province,Bourail,Surfing,M,Fatal,Y,11h30,
1413,02-Mar-2009,2009.0,Provoked,SOUTH AFRICA,Western Cape Province,Off Cape Point,Fishing,M,Survived,N,13h30,"Blue shark, 1m"
1414,01-Mar-2009,2009.0,Watercraft,NEW ZEALAND,North Island,Taranaki,Fishing,M,No Injury,N,,
1415,01-Mar-2009,2009.0,Unprovoked,AUSTRALIA,New South Wales,Avalon,Surfing,M,Survived,N,06h45,2.6 m shark
1416,22-Feb-2009,2009.0,Unprovoked,AUSTRALIA,Queensland,Batt Reef,Fishing,M,Survived,N,10h15,
1417,18-Feb-2009,2009.0,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, near Port Macquarie",Surfing,M,No Injury,N,17h00,
1418,12-Feb-2009,2009.0,Unprovoked,AUSTRALIA,New South Wales,"Bondi Beach, Sydney",Surfing,M,Survived,N,19h30,"White shark, 2.5m "
1419,11-Feb-2009,2009.0,Unprovoked,AUSTRALIA,New South Wales,"Garden Point, Woolloomooloo Sydney Harbour","Diving, but on the surface when bitten by the shark",M,Survived,N,Before 07h00,"Bull shark, 2.7 m "
1420,08-Feb-2009,2009.0,Sea Disaster,USA,Puerto Rico,Quebradillas,Air Disaster,M,Survived,Y,,
1421,07-Feb-2009,2009.0,Unprovoked,AUSTRALIA,New South Wales,Cellito Beach,Surfing,M,No Injury,N,11h00,"White shark, 12' "
1422,07-Feb-2009,2009.0,Unprovoked,AUSTRALIA,New South Wales,Sandon,Surfing,M,No Injury,N,07h30,
1423,Reported 27-Jan-2009,2009.0,Provoked,AZORES,,Onboard the fishing vessel Nuevo Cedes ,Fishing,M,Survived,N,,
1425,25-Jan-2009,2009.0,Unprovoked,CUBA,Guantanamo Province,Guantanamo Bay,Spearfishing,M,Survived,N,10h30,Bull shark
1426,24-Jan-2009,2009.0,Watercraft,NEW ZEALAND,North Island,Alderman Islands,Fishing,M,No Injury,N,19h00,
1427,24-Jan-2009,2009.0,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Batemans Bay",Swimming,M,Survived,N,16h30,
1428,24-Jan-2009,2009.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Swimming,M,Fatal,Y,14h00,Tiger shark
1430,18-Jan-2009,2009.0,Watercraft,AUSTRALIA,Victoria,Off Tower Hill,Fishing,M,No Injury,N,09h20,"White shark, 5.5 m "
1431,16-Jan-2009,2009.0,Unprovoked,NEW ZEALAND,South Island,Karitane Beach,Surfing,M,No Injury,N,,
1432,Reported 13-Jan-2009,2009.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Shark Alley, off Gansbaai",,F,Fatal,Y,,White sharks
1433,12-Jan-2009,2009.0,Unprovoked,AUSTRALIA,New South Wales,"Windang,       Lake Illawara",Snorkeling,M,Survived,N,10h45,"Dusky shark, 2m"
1434,11-Jan-2009,2009.0,Unprovoked,AUSTRALIA,Tasmania,Binalong Bay,Surfing,F,Survived,N,15h45,"White shark, 5m"
1435,11-Jan-2009,2009.0,Unprovoked,AUSTRALIA,New South Wales,Fingal Beach,Surfing,M,Survived,N,09h00,"White shark, 3.5m"
1436,    10-Jan-2009,2009.0,Watercraft,NEW ZEALAND,North Island,Hawkes Bay,Fishing,M,No Injury,N,,"Mako shark, 3m"
1437,10-Jan-2009,2009.0,Unprovoked,ECUADOR,Galapagos Islands,Isla Isabella,Surfing,M,Survived,N,,
1438,06-Jan-2009,2009.0,Unprovoked,NEW ZEALAND,North Island,Haumoana ,Swimming,M,Survived,N,17h30,Broadnose sevengill shark
1439,Jan-2009,2009.0,Unprovoked,CUBA,Guantanamo Province,Guantanamo,Spearfishing,F,Survived,N,,Bull shark
1441,27-Dec-2008,2008.0,Watercraft,AUSTRALIA,Tasmania,near Schouten Island,Yacht race,M,No Injury,N,,2 m shark
1442,27-Dec-2008,2008.0,Unprovoked,AUSTRALIA,New South Wales,Seal Rocks,Boogie Boarding,M,No Injury,N,,
1443,27-Dec-2008,2008.0,Watercraft,AUSTRALIA,New South Wales,"Long Reef, north of Sydney",Kayaking,M,No Injury,N,11h00,"White shark, 4m to 5m "
1444,27-Dec-2008,2008.0,Unprovoked,AUSTRALIA,Western Australia,Port Kennedy Beach,Snorkeling,M,Fatal,Y,07h00,4 to 5m white shark
1445,20-Dec-2008,2008.0,Watercraft,USA,California,"Dillon Beach, Marin County",Kayaking,M,No Injury,N,15h00,White shark
1446,14-Dec-2008,2008.0,Unprovoked,NEW ZEALAND,North Island,Maraetai,Fishing,M,Survived,N,,Bronze whaler shark?
1447,10-Dec-2008,2008.0,Provoked,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,Fishing,M,Survived,N,20h00,"Raggedtooth shark, 2m"
1448,06-Dec-2006,2008.0,Watercraft,AUSTRALIA,New South Wales,Mowarry Point,Fishing,M,Survived,N,Morning,"White shark, 4.5 to 5 m "
1449,Dec-2008,2008.0,Unprovoked,MOZAMBIQUE,Inhambane Province,Chidenguele,Spearfishing,M,Fatal,Y,,Zambesi shark?
1450,28-Nov-2008,2008.0,Unprovoked,EGYPT,Red Sea,Elphinstone Reef,Scuba diving,F,Survived,N,Morning,Oceanic whitetip shark
1451,25-Nov-2008,2008.0,Sea Disaster,PHILIPPINES,Batanes Provine,Luzon Strait,Sinking of the cargo ship Mark Jason,M,Survived,N,,
1452,24-Nov-2008,2008.0,Unprovoked,ECUADOR,Galapagos Islands,Santa Cruz,,F,Survived,N,,
1453,09-Nov-2008,2008.0,Watercraft,AUSTRALIA,South Australia,North Haven,Fishing,M,No Injury,N,,Bronze whaler shark
1454,09-Nov-2008,2008.0,Sea Disaster,TAIWAN,,50 miles off Kaohsiung,Fishing boat swamped in storm,M,Fatal,Y,,
1455,06-Nov-2008,2008.0,Unprovoked,PHILIPPINES,Luzon,"off Paoay, Ilocos Norte Province",Fishing,M,Survived,Y,10h00 -- 11h00,
1456,22-Oct-2008,2008.0,Provoked,AUSTRALIA,New South Wales,"Oceanworld, Manley",Scuba diving,M,Survived,N,17h20,"Grey nurse shark, 3m"
1457,21-Oct-2008,2008.0,Unprovoked,NEW CALEDONIA,,,Spearfishing,M,Survived,N,11h00,Lemon shark
1458,12-Oct-2008,2008.0,Provoked,AUSTRALIA,Northern Territory,Darwin,Fishing,M,Survived,N,," reef shark, 1.8m"
1459,11-Oct-2008,2008.0,Unprovoked,AUSTRALIA,New South Wales,Lake Macquarie,Surfing,M,No Injury,N,15h30,
1460,08-Oct-2008,2008.0,Unprovoked,USA,Florida,"Santa Rosa Beach, Walton County",Fishing,M,Survived,N,12h00,
1461,06-Oct-2008,2008.0,Unprovoked,CROATIA," Split-Dalmatia Count,","Smokvina Bay, Vis Island",Spearfishing,M,Survived,N,12h00,5 m white shark
1462,28-Sep-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Survived,N,11h45,
1463,28-Sep-2008,2008.0,Unprovoked,USA,Florida,Bethune Beach,Surfing,M,Survived,N,11h00,+3' shark
1464,15-Sep-2008,2008.0,Provoked,AUSTRALIA,Northern Territory,Near Croker Island,Swimming,M,Survived,N,14h30,Bronze whaler shark
1465,14-Sep-2008,2008.0,Unprovoked,USA,Florida,"Ormond-by-the-Sea, Volusia County",Swimming,M,Survived,N,12h00,2' to 3' juvenile shark
1466,09-Sep-2008,2008.0,Unprovoked,USA,Hawaii,"Ka'a'awa, Oahu",Surfing,M,Survived,N,16h30,Tiger shark
1467,08-Sep-2008,2008.0,Unprovoked,USA,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,M,No Injury,N,10h30,"White shark, 14' to 16' "
1468,07-Sep-2008,2008.0,Unprovoked,AUSTRALIA,New South Wales,"Clarks Beach, Byron Bay",Surfing,M,Survived,N,12h00,3 m shark
1469,06-Sep-2008,2008.0,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,Survived,N,12h00,
1470,06-Sep-2008,2008.0,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,Survived,N,12h00,
1471,01-Sep-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Survived,N,10h00,4' shark
1472,Sep-2008,2008.0,Unprovoked,USA,Florida,Hutchinson Island,Surfing,M,Survived,N,Morning,
1473,30-Aug-2008,2008.0,Unprovoked,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",Surfing,M,No Injury,N,,
1475,30-Aug-2008,2008.0,Provoked,ENGLAND,North Devon, Lundy Island,Fishing,M,Survived,N,,Blue shark
1476,28-Aug-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Survived,N,12h00,
1477,27-Aug-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Survived,N,11h00,6' shark
1478,24-Aug-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County","Swimming, towing surfboard",M,Survived,N,15h00,
1480,20-Aug-2008,2008.0,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Swimming,M,Survived,N,14h45,
1482,16-Aug-2008,2008.0,Unprovoked,USA,US Virgin Islands,Buck Island,Treading water,F,Survived,N,Dusk,8' bull shark or Caribbean reef shark
1483,12-Aug-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,F,Survived,N,12h05,
1484,11-Aug-2008,2008.0,Unprovoked,USA,Hawaii,"Ala Moana Beach Park, Oah'u",Diving,M,No Injury,N,14h00,"Tiger shark, 12'"
1485,30-Jul-2008,2008.0,Unprovoked,AUSTRALIA,Victoria,Levys Beach,Surfing,M,No Injury,N,10h30,8' white shark or 7-gill shark
1486,Reported 30-Jul-2008,2008.0,Unprovoked,SOUTH AFRICA,,,,M,Survived,N,,White shark
1487,27-Jul-2008,2008.0,Unprovoked,PANAMA,San Carlos,Playa Teta,Swimming or surfing,M,Survived,N,18h00,3'  shark
1488,26-Jul-2008,2008.0,Unprovoked,MEXICO,Cabo San Lucas,,Swimming,M,Survived,N,,2'  shark
1489,26-Jul-2008,2008.0,Unprovoked,USA,Hawaii,"Honokowai, Maui",Swimming,M,Survived,N,15h30,2' to 3' reef shark
1490,25-Jul-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Survived,N,09h00,
1491,25-Jul-2008,2008.0,Unprovoked,USA,Hawaii,"Lahilahi Point, Oahu",Snorkeling,F,Survived,N,08h45,
1492,24-Jul-2008,2008.0,Unprovoked,USA,North Carolina,"Surf City, Topsail Island, Pender County",Wading,M,Survived,N,,3' shark
1493,24-Jul-2008,2008.0,Unprovoked,USA,North Carolina,"Topsail Island, Pender County",Wading,F,Survived,N,13h00,3' to 4' shark
1494,23-Jul-2008,2008.0,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Survived,N,14h30,
1495,19-Jul-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,Survived,N,13h55,4' shark
1496,18-Jul-2008,2008.0,Unprovoked,EGYPT,,Daedalus Reef,Diving,M,Survived,N,,Oceanic whitetip shark
1498,11-Jul-2008,2008.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Surfing,M,Survived,N,14h00,
1499,09-Jul-2008,2008.0,Unprovoked,USA,North Carolina,"Emerald Isle, Carteret County",Swimming,F,Survived,N,19h30,
1500,05-Jul-2008,2008.0,Unprovoked,USA,South Carolina,"Litchfield Beach, Georgetown County",,F,Survived,N,14h21,
1501,Late Jul-2008,2008.0,Watercraft,UNITED KINGDOM,Sussex,"Rock-a-Nore, Hastings",Rowing an inflatable dinghy,M,Survived,N,,"Starry smoothhound shark, 1m"
1503,28-Jun-2008,2008.0,Unprovoked,BAHAMAS,Abaco Islands,,Spearfishing,M,Survived,N,11h00,"Bull shark, 6' to 7'"
1504,28-Jun-2008,2008.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Surf skiing ,M,No Injury,N,14h00,"White shark, 2m"
1505,Reported 26-Jun-2008,2008.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Struis Bay,Spearfishing (free diving),M,No Injury,N,,"White shark, 4.5m"
1506,26-Jun-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Survived,N,Afternoon,
1507,26-Jun-2008,2008.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,Survived,N,11h15,4.5 to 5' shark
1508,24-Jun-2008,2008.0,Unprovoked,BRAZIL,Bahia,Guarajuba,Surfing,M,No Injury,N,Morning,
1509,21-Jun-2008,2008.0,Watercraft,USA,California,"West Cove, Catalina Island",Kayaking,F,Survived,N,09h00,"White shark, 15'"
1510,20-Jun-2008,2008.0,Unprovoked,USA,Florida,"Fernandina Beach, Nassau County",Wading,F,Survived,N,11h10,
1511,11-Jun-2008,2008.0,Unprovoked,BRAZIL,Pernambuco,"Punta Del Chifre, Olinda",Surfing,M,Survived,N,,
1512,07-Jun-2008,2008.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Body surfing,M,Survived,N,,
1513,Reported 02-Jun-2008,2008.0,Watercraft,SCOTLAND,Easter Ross,Balintore Bay,Fishing,M,No Injury,N,,Basking shark
1514,01-Jun-2008,2008.0,Unprovoked,USA,South Carolina,Cherry Grove,Body surfing,F,Survived,N,18h30,5' shark
1515,01-Jun-2008,2008.0,Unprovoked,BRAZIL,Pernambuco,"Piedade, Recife",Swimming,M,Survived,N,15h00,Bull shark
1516,26-May-2008,2008.0,Unprovoked,USA,North Carolina,"Hammocks Beach State Park, Bear Island, Onslow County",Surfing,M,Survived,N,15h50,
1517,24-May-2008,2008.0,Sea Disaster,BAHAMAS,Grand Bahama Island,Off West End,Sea Disaster,M,Survived,N,,Tiger sharks in area
1518,24-May-2008,2008.0,Unprovoked,MEXICO,Guerro,Playa Linda,Surfing,M,Survived,N,Early morning,3 m shark
1519,23-May-2008,2008.0,Unprovoked,MEXICO,Guerro,Pantla Beach,Surfing,M,Fatal,Y,,2 m shark
1520,14-May-2008,2008.0,Unprovoked,FIJI,Yasawa Islands,Turtle Island,Night diving,M,Fatal,Y,Night,
1521,10-May-2008,2008.0,Unprovoked,AUSTRALIA,Western Australia,Albany,Swimming,M,Survived,N,07h30,"White shark, 4m"
1522,07-May-2008,2008.0,Unprovoked,NEW CALEDONIA,North Province,Hienghène,Fishing,M,Survived,N,14h00,2 small bull sharks
1523,07-May-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,Survived,N,Just before noon,
1524,01-May-2008,2008.0,Provoked,SOUTH AFRICA,,,Fishing,M,Survived,N,,
1525,28-Apr-2008,2008.0,Unprovoked,MEXICO,Guerro,Troncones Beach,Surfing,M,Fatal,Y,Afternoon,Tiger shark
1526,28-Apr-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Survived,N,11h45,4' shark
1527,27-Apr-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Survived,N,10h30,
1528,26-Apr-2008,2008.0,Unprovoked,NEW CALEDONIA,North Province,Poindimié,Swimming,M,Survived,N,Morning,"Bull shark, 1.8m"
1529,26-Apr-2008,2008.0,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Survived,N,09h50,
1530,25-Apr-2008,2008.0,Unprovoked,USA,California,"Solana Beach, San Diego County",Swimming,M,Fatal,Y,07h00,"White shark, 12' to 15'"
1531,20-Apr-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Survived,N,08h45,
1536,15-Apr-2008,2008.0,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,Survived,N,15h00,1.5' to 2' shark
1537,Reported 09-Apr-2008,2008.0,Unprovoked,FIJI,,,Spearfishing,M,Survived,N,,
1538,25-Mar-2008,2008.0,Unprovoked,USA,Florida,"Palm Beach Shores, Palm Beach County",Wading,M,Survived,N,,6' shark
1539,Reported 08-Apr-2008,2008.0,Unprovoked,USA,Florida,"1.4 miles south of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Surfing,M,Survived,N,,
1540,08-Apr-2008,2008.0,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",Body boarding,M,Fatal,Y,08h05,Bull shark
1541,03-Apr-2008,2008.0,Unprovoked,USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,M,Survived,N,12h00,
1542,28-Mar-2008,2008.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,Fishing from surfski,M,Survived,N,,
1543,28-Mar-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach / Ponce Inlet, Volusia County",Surfing,M,Survived,N,18h50,4' to 5' shark
1544,28-Mar-2008,2008.0,Unprovoked,USA,Florida,"Near Cocoa Beach, Brevard  County",Boogie Boarding,M,Survived,N,,a small shark
1545,23-Mar-2008,2008.0,Unprovoked,USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,M,Survived,N,11h30,2.5' shark
1546,21-Mar-2008,2008.0,Unprovoked,USA,Florida,"Beachway Avenue Approach, New Smyrna Beach, Volusia County",Wading,M,Survived,N,15h53,
1547,15-Mar-2008,2008.0,Unprovoked,USA,Florida,"Lovers Key State Park, Bonita Springs, Lee County",Jet skiing,M,Survived,N,Afternoon,Shark involvement not confirmed
1548,07-Mar-2008,2008.0,Unprovoked,USA,California," Huntington Beach, Orange County",Surfing,M,No Injury,N,08h00,White shark
1549,24-Feb-2008,2008.0,Unprovoked,BAHAMAS,Northern Bahamas,"Dive site known as ""The End of the Map""",Diving,M,Survived,Y,10h00,"A bull shark, according to some of the divers on the boat"
1550,Reported 21-Feb-2008,2008.0,Unprovoked,FRENCH POLYNESIA,Society Islands,Tahiti,Spearfishing,M,Survived,N,,
1551,15-Feb-2008,2008.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,Survived,N,17h00,
1552,07-Feb-2008,2008.0,Unprovoked,AUSTRALIA,New South Wales,Horseshoe Bay,Surfing,F,Survived,N,,1 m shark
1553,06-Feb-2008,2008.0,Unprovoked,USA,Florida,"Opposite Patrick Air Force Base, Brevard County",Surf-skiing,M,Survived,N,,3' shark
1555,29-Jan-2008,2008.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Suncoast Pirates Beach, Durban",Surf-skiing,M,No Injury,N,,"Blacktip shark, 2m"
1556,27-Jan-2008,2008.0,Provoked,AUSTRALIA,Queensland,200 km east of Coolangatta  ,Accidentally stood on hooked shark's tail before attempting to gut it ,M,Survived,N,07h30,"Mako shark, 90kg"
1558,14-Jan-2008,2008.0,Watercraft,NEW ZEALAND,North Island,Omaha Beach,Attempting to chase shark out to sea,M,No Injury,N,14h00,"Bronze whaler shark, 4m"
1559,10-Jan-2008,2008.0,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,Survived,N,,a small shark
1560,Fall 2008,2008.0,Provoked,USA,Florida,"Off Fort Pierce, St. Lucie County",Fishing for snapper,M,Survived,N,,"Nurse shark, 10'"
1561,Summer-2008,2008.0,Unprovoked,MEXICO,Baja California,Playas de Tijuana,Surfing,M,Survived,N,,Possibly a hammerhead shark
1562,21-Dec-2007,2007.0,Unprovoked,ECUADOR,Galapagos Islands,San Cristobal Island,Surfing,M,Survived,N,,3 m shark
1564,18-Dec-2007,2007.0,Unprovoked,AUSTRALIA,New South Wales,Jimmy's Beach,Surfing,M,Survived,N,11h00,2 m shark
1565,15-Dec-2007,2007.0,Unprovoked,AUSTRALIA,Queensland,South Stradbroke Island,Swimming,M,Survived,N,,"""a small shark"""
1567,10-Dec-2007,2007.0,Unprovoked,USA,Hawaii,"Waialua Bay, O'ahu",Surfing,M,No Injury,N,"""Just before 11h00""",Tiger shark
