,Date,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal (Y/N),Time,Species 
5432,1926,1926.0,Unprovoked,SINGAPORE,,Sea View Beach,Dived onto shark from floating stage,F,Fatal,Y,,
5434,22-Nov-1925,1925.0,Unprovoked,AUSTRALIA,Western Australia,Cottesloe Beach,Floating on his back,M,Fatal,Y,15h15,"Tiger shark, 4 m [13'] female"
5435,Nov-1925,1925.0,Unprovoked,USA,Puerto Rico,"Condado Beach, San Juan",,F,Survived,N,,
5436,Nov-1925,1925.0,Unprovoked,USA,Puerto Rico,"Condado Beach, San Juan",,M,Survived,N,,
5437,04-Sep-1925,1925.0,Provoked,SPAIN,Valencia ,Valencia,Fishing,M,Survived,N,,
5438,03-Sep-1925,1925.0,Unprovoked,ENGLAND,Isle of Wight,Off Shanklin,Fishing,M,No Injury,N,08h00,
5439,02-Aug-1925,1925.0,Unprovoked,USA,South Carolina,"Folly Island, near Charleston",Swimming,F,Survived,N,,
5441,May 1925,1925.0,Unprovoked,USA,Puerto Rico,"Condado Beach, San Juan",,M,Survived,N,,
5442,07-Mar-1925 or 27-Mar-1925,1925.0,Unprovoked,AUSTRALIA,New South Wales,Coogee,Bathing in waist-deep water,M,Survived,N,17h00,Said to be a “small shark”
5443,12-Mar-1925,1925.0,Unprovoked,AUSTRALIA,New South Wales,Newcastle Beach,Swimming,M,Fatal,Y,15h15,
5444,10-Mar-1925,1925.0,Unprovoked,PAPUA NEW GUINEA,Central Province,Hula,Swimming,M,Fatal,Y,,
5445,Reported 27-Jan-1925,1925.0,Unprovoked,USA,Florida,"Miami Beach, Miami-Dade County",Swimming,M,Survived,N,,
5446,08-Jan-1925,1925.0,Unprovoked,CANADA,Vancouver,Second Narrows in Burrard Inlet,"Diving, repairing water main at depth of 90'",M,Survived,N,,2.1 m [7'] shark
5447,1925,1925.0,Unprovoked,FIJI,Viti Levu Island,"Suva Harbor, Suva",Diving for coins tossed from passenger ship,M,Survived,N,,
5448,25-Nov-1924,1924.0,Unprovoked,MEXICO,Tamaulipas,Tampico,The Ward liner Esperanza stranded during a gale & she leapt overboard to rescue her dog which had been swept overboard.,F,Fatal,Y,,1.8 m shark
5449,24-Nov-1924,1924.0,Unprovoked,PANAMA,"2 to 3 miles off Taboguilla Island, Pacific Ocean",Pacific Anchorage off the Panama Canal,"Inebriated, woke from sleep and fell off deck into the water ",M,Survived,N,After midnight,
5450,21-Nov-1924,1924.0,Unprovoked,USA,Puerto Rico,Santurce,Bathing,M,Fatal,Y,Late afternon,
5451,Reported 31-Oct-1924,1924.0,Provoked,FRENCH POLYNESIA,Tuamotus,Rangiroa,Pearl diving,M,Survived,N,,
5452,18-Oct-1924,1924.0,Unprovoked,AUSTRALIA,Victoria,Port Melbourne,Bathing,M,Survived,N,,10' shark
5453,31-Jul-1924,1924.0,Unprovoked,USA,South Carolina,"Folly Island, near Charleston",Standing,M,Survived,N,,"Mako shark, 1.9 m [6.5']. Tooth fragment recovered & identified by J.T. Nichols."
5454,14-Jul-1924,1924.0,Provoked,ENGLAND,Dorset,Weymouth,Fishing for mackerel,M,Survived,N,,12' shark
